customerid,bank_account_type,employment_status_clients,age,systemloanid,loannumber,approveddate,creationdate,loanamount,totaldue,termdays,good_bad_flag,loan_approval_min,early_payments,late_payments,payment_status_score,repayment_behaviour_score
8a858e135cb22031015cbafc76964ebd,Savings,unknown,52,301964962,2,2017-07-05 14:29:48,2017-07-05 13:29:42,10000.0,13000.0,30,Good,60.1,1,0,5.0,500.0
8a858e275c7ea5ec015c82482d7c3996,Savings,Permanent,39,301972172,2,2017-07-10 21:21:46,2017-07-10 20:21:40,10000.0,13000.0,30,Bad,60.1,0,1,-5.0,-500.0
8a858e5b5bd99460015bdc95cd485634,Savings,unknown,38,301976271,4,2017-07-13 15:40:27,2017-07-13 14:40:19,10000.0,13000.0,30,Good,60.13,1,2,-5.0,-167.0
8a858efd5ca70688015cabd1f1e94b55,Savings,Permanent,34,301997763,2,2017-07-26 21:03:17,2017-07-26 20:03:09,10000.0,11500.0,15,Good,60.13,0,1,-5.0,-500.0
8a858ea05a859123015a8892914d15b7,Savings,Permanent,35,301992494,6,2017-07-23 21:44:43,2017-07-23 20:44:36,20000.0,24500.0,30,Good,60.12,5,0,24.0,480.0
8a858f405d13c45f015d13dd93ec0c1c,Savings,Permanent,33,302000213,2,2017-07-28 10:13:02,2017-07-28 09:12:57,10000.0,13000.0,30,Good,60.08,1,0,5.0,500.0
8a858f2a5ce989dd015ce9fc24b1474b,Savings,unknown,31,301966939,2,2017-07-06 18:25:57,2017-07-06 17:25:52,10000.0,13000.0,30,Bad,60.08,1,0,5.0,500.0
8a858f3a5c10828d015c109746d20aee,Savings,Permanent,55,301983781,2,2017-07-18 12:55:38,2017-07-18 11:55:30,10000.0,13000.0,30,Good,60.13,1,0,5.0,500.0
8a858fb4563228d201564fd7519f22a8,Other,Student,31,301960555,7,2017-07-03 07:07:04,2017-07-03 06:05:58,30000.0,34500.0,30,Good,61.1,6,0,27.5,458.0
8a858f955a61ad4e015a69ee1edd0d3d,Savings,Permanent,39,301983384,5,2017-07-18 09:50:12,2017-07-18 08:50:06,20000.0,24500.0,30,Good,60.1,4,0,19.5,488.0
8a858ff25a6a19ee015a6abff5ed659c,Savings,Permanent,37,301977280,4,2017-07-14 10:26:41,2017-07-14 09:26:33,10000.0,13000.0,30,Good,60.13,1,2,-5.5,-183.0
8a858e6c5c88d145015c894de1a91c5c,Savings,Permanent,37,301958736,2,2017-07-01 09:55:54,2017-07-01 08:55:47,10000.0,13000.0,30,Good,60.12,1,0,5.0,500.0
8a858eb45876dcc501587dae11f2283e,Savings,Permanent,36,302003197,7,2017-07-30 09:59:40,2017-07-30 08:59:34,10000.0,13000.0,30,Bad,60.1,3,3,-0.5,-8.0
8a858f2f54e28d530154ecdd303004fa,Savings,Permanent,42,301989564,3,2017-07-21 15:53:15,2017-07-21 14:53:07,10000.0,13000.0,30,Good,60.13,2,0,10.0,500.0
8a858f6c570f2d660157238b0c4a1bdd,Other,Self-Employed,35,301966182,8,2017-07-06 10:37:09,2017-07-06 09:37:03,25000.0,27500.0,30,Good,60.1,7,0,34.5,493.0
8a85893d542e18bc01542e37365c120a,Savings,Permanent,37,301995423,7,2017-07-25 14:53:49,2017-07-25 13:52:41,30000.0,39000.0,60,Good,61.13,4,2,9.5,158.0
8a8588f35438fe12015444567666018e,Other,Permanent,41,301966580,7,2017-07-06 14:52:57,2017-07-06 13:52:51,20000.0,22250.0,15,Good,60.1,5,1,19.0,317.0
8a858f275c451af5015c49a2c43b5fb2,Savings,Permanent,40,301980592,2,2017-07-16 16:54:48,2017-07-16 15:54:40,10000.0,13000.0,30,Good,60.13,1,0,5.0,500.0
8a858e2155defefd0155e12953ee00a1,Other,Permanent,36,301967209,11,2017-07-06 22:37:12,2017-07-06 21:37:07,40000.0,44000.0,30,Good,60.08,8,2,30.0,300.0
8a858e4b5a7f868b015a80f3822d505b,Savings,Permanent,38,301995976,6,2017-07-25 21:21:47,2017-07-25 20:21:39,20000.0,24000.0,30,Good,60.13,5,0,23.5,470.0
8a858f125c5f88b1015c603d2810428c,Savings,Permanent,41,301965899,2,2017-07-06 07:21:58,2017-07-06 06:21:53,10000.0,13000.0,30,Good,60.08,1,0,5.0,500.0
8a858ee75a6156c0015a635f394a5f79,Savings,Permanent,43,302001727,7,2017-07-29 07:47:49,2017-07-29 06:47:42,30000.0,34500.0,30,Good,60.12,6,0,29.5,492.0
8a858f445d41ebbe015d50c105334acc,Savings,unknown,39,301995706,2,2017-07-25 17:45:13,2017-07-25 16:45:07,10000.0,11500.0,15,Good,60.1,1,0,5.0,500.0
